Year,State,District,Agro-Climatic Zone,Crop,Season,Area (ha),Rainfall (mm),Irrigation (%),Soil Type,Fertilizer Use (kg/ha),Production (tonnes),crop_yield
2016,West Bengal,District_14,Western Plateau,Wheat,Zaid,78438,1065.7,48.32,Sandy,90.93,261858,3.34
2010,Karnataka,District_52,Northern Hill Zone,Sugarcane,Kharif,57733,1361.1,98.32,Laterite,147.39,226894,3.93
2007,Andhra Pradesh,District_82,Western Plateau,Maize,Kharif,69293,1829.93,33.4,Alluvial,125.44,157323,2.27
2000,Andhra Pradesh,District_57,Cauvery Delta Zone,Maize,Kharif,12750,1094.52,63.99,Alluvial,113.8,39114,3.07
2012,Uttar Pradesh,District_21,East Coast Plains & Hills,Wheat,Kharif,76091,1388.74,22.56,Laterite,126.27,305612,4.02
2020,Karnataka,District_23,Eastern Plateau and Hills,Wheat,Rabi,61887,690.32,90.77,Clay,54.88,198026,3.2
2003,West Bengal,District_4,Eastern Plateau and Hills,Rice,Rabi,15037,1237.12,40.43,Red,267.51,30932,2.06
2006,Maharashtra,District_74,Cauvery Delta Zone,Rice,Rabi,51335,529.5,52.88,Red,296.36,171073,3.33
2013,West Bengal,District_43,Trans-Gangetic Plains,Maize,Zaid,45288,329,51.51,Alluvial,61.45,190543,4.21
2004,Tamil Nadu,District_11,Upper Gangetic Plains,Rice,Rabi,149316,1278.68,38.57,Red,202.63,607463,4.07
2010,Bihar,District_84,Eastern Plateau and Hills,Rice,Rabi,105139,1485.11,75.75,Clay,276.03,360740,3.43
2016,Punjab,District_19,Western Dry Region,Rice,Kharif,54290,695.86,63.86,Laterite,220.96,157840,2.91
2004,Bihar,District_65,Northern Hill Zone,Sugarcane,Kharif,136851,641.34,39.01,Sandy,87.6,489995,3.58
2019,West Bengal,District_95,Cauvery Delta Zone,Rice,Rabi,125401,1462.7,92.38,Black,241.83,534096,4.26
2002,Andhra Pradesh,District_2,Eastern Plateau and Hills,Rice,Zaid,64495,1345.18,53.13,Laterite,281.58,255132,3.96
2004,Gujarat,District_49,Northern Hill Zone,Sugarcane,Rabi,78679,1696.72,58.15,Alluvial,162.66,332027,4.22
2014,Bihar,District_69,Western Plateau,Wheat,Rabi,87691,759.59,57.21,Clay,224.84,241930,2.76
2018,Gujarat,District_34,Cauvery Delta Zone,Maize,Rabi,33375,1493.21,25.5,Sandy,204.35,55138,1.65
2015,Rajasthan,District_4,Northern Hill Zone,Cotton,Kharif,37995,623.05,26.6,Clay,242.05,125070,3.29
2007,West Bengal,District_91,Lower Gangetic Plains,Wheat,Zaid,70197,721.82,85.04,Black,108.19,224261,3.19
2012,Punjab,District_39,Cauvery Delta Zone,Sugarcane,Zaid,117747,1159.48,84.16,Laterite,161,496168,4.21
2015,Andhra Pradesh,District_49,Trans-Gangetic Plains,Sugarcane,Kharif,83674,1717.25,79.41,Laterite,99.21,261176,3.12
2002,West Bengal,District_3,Eastern Plateau and Hills,Maize,Rabi,67300,797.28,84.63,Red,187.12,118342,1.76
2000,Uttar Pradesh,District_26,Cauvery Delta Zone,Rice,Zaid,112845,633.15,40.73,Black,94.48,393452,3.49
2008,Bihar,District_41,Western Dry Region,Cotton,Zaid,73515,1352.29,95.2,Laterite,286.86,153182,2.08
2008,West Bengal,District_65,Eastern Plateau and Hills,Cotton,Zaid,60381,884.04,23.69,Clay,211.38,182110,3.02
2016,Punjab,District_16,Trans-Gangetic Plains,Cotton,Kharif,61874,984.54,63.71,Laterite,272.98,111776,1.81
2001,Tamil Nadu,District_58,Western Plateau,Wheat,Kharif,32330,1303.97,64.68,Laterite,178.86,91750,2.84
2008,Uttar Pradesh,District_35,Western Dry Region,Sugarcane,Rabi,7765,454.5,55.48,Red,270.87,12532,1.61
2018,Karnataka,District_83,Cauvery Delta Zone,Cotton,Kharif,53132,826.92,77.2,Red,64.99,178177,3.35
2012,West Bengal,District_16,Trans-Gangetic Plains,Cotton,Rabi,85669,1290.36,45.69,Sandy,261.36,333604,3.89
2004,Gujarat,District_33,Trans-Gangetic Plains,Rice,Rabi,102635,534.56,46.86,Alluvial,194.15,182047,1.77
2008,Tamil Nadu,District_31,Cauvery Delta Zone,Wheat,Rabi,132813,1224.96,26.56,Clay,157.95,468175,3.53
2012,Karnataka,District_22,Western Plateau,Sugarcane,Kharif,31078,1520.16,99.57,Black,275.58,105671,3.4
2000,West Bengal,District_61,Cauvery Delta Zone,Maize,Rabi,21792,1150.75,71.27,Laterite,128.21,57540,2.64
2014,Uttar Pradesh,District_84,Trans-Gangetic Plains,Rice,Rabi,32335,1157.38,62.7,Laterite,59.53,108539,3.36
2003,Andhra Pradesh,District_64,Upper Gangetic Plains,Rice,Zaid,99790,562.18,26.33,Alluvial,108.74,426156,4.27
2003,Bihar,District_70,Western Plateau,Rice,Rabi,38598,350.74,42.77,Sandy,98.74,120178,3.11
2019,Uttar Pradesh,District_35,East Coast Plains & Hills,Cotton,Kharif,141801,422.33,64.89,Sandy,67.89,328890,2.32
2009,Karnataka,District_39,Eastern Plateau and Hills,Maize,Rabi,87584,1166.03,78.21,Laterite,126.11,270156,3.08
2005,Maharashtra,District_3,East Coast Plains & Hills,Wheat,Rabi,92777,1063,65.57,Clay,270.61,210064,2.26
2011,Rajasthan,District_96,Cauvery Delta Zone,Sugarcane,Kharif,131047,1681.88,97.09,Alluvial,277.02,548793,4.19
2019,Tamil Nadu,District_13,Lower Gangetic Plains,Wheat,Rabi,10822,941.6,40.76,Laterite,284.23,38349,3.54
2015,Gujarat,District_14,Eastern Plateau and Hills,Rice,Zaid,33825,1884.84,86.77,Laterite,272.26,85436,2.53
2002,Uttar Pradesh,District_41,Trans-Gangetic Plains,Maize,Rabi,120818,871.93,77.24,Clay,241.61,438370,3.63
2013,Uttar Pradesh,District_8,Western Dry Region,Wheat,Kharif,117030,1245.52,24.9,Red,184.7,294285,2.51
2000,Rajasthan,District_19,Eastern Plateau and Hills,Wheat,Kharif,130077,1442.67,48.12,Laterite,188.98,215472,1.66
2009,Andhra Pradesh,District_14,East Coast Plains & Hills,Rice,Rabi,92943,1606.79,99.85,Red,157.69,382855,4.12
2014,Tamil Nadu,District_75,Lower Gangetic Plains,Rice,Kharif,133667,1411.04,31.66,Clay,260.78,256409,1.92
2006,Punjab,District_50,East Coast Plains & Hills,Wheat,Zaid,26882,513.76,31.45,Red,239.25,85147,3.17
2003,Gujarat,District_99,Northern Hill Zone,Wheat,Zaid,108541,1468,66.42,Clay,123.55,227612,2.1
2013,Karnataka,District_61,Trans-Gangetic Plains,Cotton,Zaid,30646,301.62,81.14,Laterite,275.16,83991,2.74
2015,Maharashtra,District_36,Upper Gangetic Plains,Maize,Kharif,112375,871.1,22.19,Red,192.17,449396,4
2013,Tamil Nadu,District_67,Western Dry Region,Rice,Rabi,139672,1113.52,40.88,Clay,155.81,216957,1.55
2002,Uttar Pradesh,District_89,Upper Gangetic Plains,Sugarcane,Kharif,41417,1000.86,56.85,Black,207.92,181937,4.39
2016,Tamil Nadu,District_77,Lower Gangetic Plains,Sugarcane,Zaid,80884,747.65,74.61,Alluvial,176.83,172146,2.13
2020,Tamil Nadu,District_80,Cauvery Delta Zone,Rice,Kharif,61282,1760.06,45.76,Clay,283.94,264264,4.31
2013,West Bengal,District_92,Eastern Plateau and Hills,Maize,Zaid,18033,1988.28,62.15,Clay,98.02,70594,3.91
2017,Rajasthan,District_45,Western Plateau,Sugarcane,Kharif,83589,1422.06,52.84,Laterite,69.31,185557,2.22
2002,West Bengal,District_91,Eastern Plateau and Hills,Cotton,Rabi,16012,510.91,61.76,Black,65.81,30992,1.94
2018,Karnataka,District_74,Trans-Gangetic Plains,Rice,Rabi,117131,617.04,74.23,Laterite,114.46,342797,2.93
2002,Andhra Pradesh,District_82,Cauvery Delta Zone,Sugarcane,Rabi,58317,306.1,75.58,Sandy,299.91,130663,2.24
2011,Tamil Nadu,District_72,East Coast Plains & Hills,Sugarcane,Rabi,126884,923.91,35.66,Black,239.31,362602,2.86
2004,Punjab,District_7,Trans-Gangetic Plains,Rice,Zaid,121487,1694.26,50.13,Red,182.71,466133,3.84
2009,Maharashtra,District_22,Cauvery Delta Zone,Maize,Zaid,121553,699.57,42.3,Black,89.18,248462,2.04
2008,Bihar,District_9,Lower Gangetic Plains,Rice,Zaid,126314,986.78,48.33,Black,87.18,436738,3.46
2000,West Bengal,District_60,Western Dry Region,Wheat,Kharif,109508,1915.27,48.28,Black,155.16,211292,1.93
2012,Karnataka,District_42,Trans-Gangetic Plains,Sugarcane,Kharif,143548,1202.77,23.31,Alluvial,122.56,433278,3.02
2002,Karnataka,District_59,Trans-Gangetic Plains,Wheat,Rabi,131153,1897.94,86.31,Clay,197.69,476532,3.63
2018,Tamil Nadu,District_40,Cauvery Delta Zone,Maize,Zaid,135879,384.88,53.34,Red,148.83,438302,3.23
2010,Andhra Pradesh,District_29,Central Plateau and Hills,Wheat,Rabi,82967,1445.75,92.01,Sandy,233.68,147895,1.78
2015,Uttar Pradesh,District_55,Western Plateau,Maize,Rabi,146592,522.77,72.49,Red,207.36,539198,3.68
2005,Punjab,District_64,Central Plateau and Hills,Rice,Kharif,104789,349.86,93.63,Black,174.54,462537,4.41
2002,Tamil Nadu,District_42,East Coast Plains & Hills,Cotton,Zaid,89667,749.97,94.18,Clay,215.44,264549,2.95
2018,Bihar,District_29,Western Dry Region,Cotton,Zaid,48077,333.02,22.6,Clay,112.59,190750,3.97
2005,West Bengal,District_92,Northern Hill Zone,Rice,Rabi,5492,572.39,55.96,Red,292.03,12441,2.27
2007,Gujarat,District_21,Lower Gangetic Plains,Sugarcane,Kharif,17816,641.66,38.67,Clay,235.68,38543,2.16
2012,Andhra Pradesh,District_97,Western Plateau,Maize,Kharif,6523,1994.33,46.5,Sandy,174.14,13102,2.01
2011,Bihar,District_63,East Coast Plains & Hills,Wheat,Kharif,147063,400.66,33.09,Sandy,99.02,426379,2.9
2009,Bihar,District_63,Central Plateau and Hills,Cotton,Kharif,147660,1916.18,22.47,Clay,51.64,328808,2.23
2002,Tamil Nadu,District_90,Eastern Plateau and Hills,Wheat,Zaid,100101,952.19,49.38,Sandy,54.94,438407,4.38
2003,Gujarat,District_38,Upper Gangetic Plains,Wheat,Kharif,125925,1222.75,80.67,Black,113.42,319424,2.54
2000,Tamil Nadu,District_79,East Coast Plains & Hills,Wheat,Kharif,19803,356.98,93.56,Alluvial,184.87,66787,3.37
2012,Gujarat,District_66,Eastern Plateau and Hills,Sugarcane,Rabi,147874,309.11,63.26,Red,107.82,531997,3.6
2003,Karnataka,District_12,Central Plateau and Hills,Cotton,Rabi,47064,715.97,29.15,Sandy,176.24,153009,3.25
2010,Punjab,District_33,Eastern Plateau and Hills,Wheat,Rabi,46399,1467.87,54.77,Black,129.03,86478,1.86
2018,Andhra Pradesh,District_79,Western Dry Region,Wheat,Rabi,22611,1479.84,76.65,Laterite,139.85,96818,4.28
2010,Karnataka,District_1,Western Dry Region,Cotton,Kharif,97092,1295.22,56.12,Alluvial,260.11,262009,2.7
2011,Andhra Pradesh,District_97,Northern Hill Zone,Wheat,Rabi,65770,1087.59,37.28,Red,94.14,293592,4.46
2010,West Bengal,District_68,Central Plateau and Hills,Maize,Zaid,91786,708.4,79.47,Sandy,280.79,407701,4.44
2005,Uttar Pradesh,District_28,Upper Gangetic Plains,Cotton,Kharif,135478,1723.33,83.79,Sandy,241.23,277593,2.05
2011,Punjab,District_62,Upper Gangetic Plains,Wheat,Kharif,45620,1274.45,80.1,Clay,240.77,193351,4.24
2008,Andhra Pradesh,District_78,Western Dry Region,Sugarcane,Kharif,8534,884.17,64.72,Laterite,276.11,22628,2.65
2009,Uttar Pradesh,District_59,Western Plateau,Maize,Rabi,88878,551.82,70.57,Alluvial,261.17,252697,2.84
2002,Uttar Pradesh,District_49,Lower Gangetic Plains,Rice,Zaid,126666,1420.94,73.54,Clay,65.64,545398,4.31
2002,Uttar Pradesh,District_45,East Coast Plains & Hills,Sugarcane,Kharif,7455,632.32,93.74,Alluvial,277.68,19051,2.56
2019,Tamil Nadu,District_76,Lower Gangetic Plains,Rice,Zaid,92485,1190.32,32.63,Sandy,206.41,276025,2.98
2015,Uttar Pradesh,District_6,Western Dry Region,Rice,Zaid,88713,1039.48,65.42,Red,161.12,168271,1.9
2002,Tamil Nadu,District_20,Western Dry Region,Wheat,Zaid,60492,640.86,59.48,Laterite,54.61,207937,3.44
2009,Karnataka,District_85,Upper Gangetic Plains,Maize,Rabi,51947,1625.68,37.97,Red,269.4,175126,3.37
2010,Gujarat,District_16,Northern Hill Zone,Wheat,Zaid,55493,1078.96,99.39,Sandy,255.39,125046,2.25
2007,Rajasthan,District_12,Northern Hill Zone,Sugarcane,Zaid,6546,343.11,83.47,Black,191.96,22395,3.42
2005,Tamil Nadu,District_52,Lower Gangetic Plains,Rice,Rabi,92028,1155.86,42.45,Red,82.44,394230,4.28
2019,Tamil Nadu,District_20,Upper Gangetic Plains,Wheat,Rabi,39642,651.13,83.59,Alluvial,180.14,140123,3.53
2010,Tamil Nadu,District_58,Cauvery Delta Zone,Sugarcane,Kharif,100820,1988.25,39.84,Laterite,148.64,373573,3.71
2020,Punjab,District_45,Cauvery Delta Zone,Sugarcane,Zaid,65114,1400.66,42.42,Clay,191.04,117847,1.81
2011,Bihar,District_97,East Coast Plains & Hills,Rice,Kharif,66972,464.57,91.16,Black,87.78,220875,3.3
2015,Bihar,District_2,Upper Gangetic Plains,Wheat,Kharif,142374,1157.92,92.21,Red,172.53,526986,3.7
2017,Punjab,District_34,Western Plateau,Maize,Zaid,13004,972.02,85.16,Alluvial,231.74,24646,1.9
2012,Punjab,District_26,Western Dry Region,Sugarcane,Rabi,115858,1307.33,99.59,Alluvial,165.4,379900,3.28
2002,Bihar,District_33,Lower Gangetic Plains,Wheat,Kharif,113211,1421.37,28.82,Black,247.82,488286,4.31
2014,Bihar,District_42,Eastern Plateau and Hills,Maize,Rabi,149919,1071.5,63,Laterite,129.34,440415,2.94
2020,Uttar Pradesh,District_94,Western Dry Region,Rice,Kharif,59959,1386.49,57.13,Alluvial,70.45,189898,3.17
2013,Maharashtra,District_65,Upper Gangetic Plains,Maize,Zaid,36961,789.01,68.17,Alluvial,185.42,95760,2.59
2017,Andhra Pradesh,District_8,Northern Hill Zone,Rice,Kharif,82627,362.98,68.83,Red,284,266077,3.22
2013,Bihar,District_65,Western Plateau,Sugarcane,Kharif,16446,394.82,70.38,Black,201.16,35690,2.17
2004,Punjab,District_10,Western Dry Region,Cotton,Kharif,83794,1748.9,44.8,Laterite,162.88,136638,1.63
2020,Maharashtra,District_32,Central Plateau and Hills,Cotton,Rabi,28415,880.05,24.05,Red,151.67,71675,2.52
2013,Punjab,District_51,Upper Gangetic Plains,Sugarcane,Zaid,34110,1903.84,47.42,Red,242.11,135009,3.96
2007,Maharashtra,District_57,Upper Gangetic Plains,Maize,Rabi,87291,1103.33,77.28,Black,203.7,271093,3.11
2014,Tamil Nadu,District_40,East Coast Plains & Hills,Cotton,Zaid,6518,1733.04,50.19,Sandy,236.38,11248,1.73
2014,West Bengal,District_66,Lower Gangetic Plains,Rice,Zaid,67540,533.29,62.1,Alluvial,75.6,288153,4.27
2018,Maharashtra,District_31,East Coast Plains & Hills,Sugarcane,Kharif,46689,1758.51,98.91,Black,261.62,166791,3.57
2019,Gujarat,District_63,East Coast Plains & Hills,Wheat,Rabi,123419,1895.27,78.08,Clay,286.87,194929,1.58
2005,Karnataka,District_68,Western Dry Region,Cotton,Rabi,124161,1922.19,93.74,Sandy,146.59,233911,1.88
2018,Gujarat,District_56,Lower Gangetic Plains,Maize,Zaid,73159,810.81,50.52,Alluvial,185.91,313404,4.28
2007,Tamil Nadu,District_12,Cauvery Delta Zone,Sugarcane,Kharif,70898,1522.16,64.59,Alluvial,63.77,139232,1.96
2005,Rajasthan,District_31,Trans-Gangetic Plains,Cotton,Kharif,85211,406.17,37.28,Alluvial,291.06,153109,1.8
2019,Rajasthan,District_23,Eastern Plateau and Hills,Cotton,Zaid,58869,791.85,53.42,Black,220.99,155821,2.65
2014,Gujarat,District_33,Northern Hill Zone,Sugarcane,Kharif,81618,861.51,38.98,Clay,59.82,248774,3.05
2002,Rajasthan,District_8,Northern Hill Zone,Wheat,Rabi,55378,1505.12,63.32,Black,131.5,200526,3.62
2009,Maharashtra,District_62,Eastern Plateau and Hills,Sugarcane,Kharif,21968,846.65,66.69,Laterite,154.03,48643,2.21
2014,Gujarat,District_80,Cauvery Delta Zone,Wheat,Zaid,73899,412.72,34.15,Laterite,153.11,199615,2.7
2015,Punjab,District_15,Central Plateau and Hills,Sugarcane,Zaid,25748,1095.08,89.26,Laterite,95.67,60996,2.37
2016,Tamil Nadu,District_41,East Coast Plains & Hills,Rice,Rabi,113396,809.94,35.87,Red,265.88,265653,2.34
2018,Rajasthan,District_52,Upper Gangetic Plains,Rice,Kharif,61446,1611.3,54.64,Black,51.66,247794,4.03
2010,Punjab,District_26,Lower Gangetic Plains,Sugarcane,Zaid,61366,1175.35,33.04,Sandy,50.15,168311,2.74
2015,Andhra Pradesh,District_78,Eastern Plateau and Hills,Wheat,Rabi,56958,823.56,35,Sandy,246.01,250682,4.4
2004,Tamil Nadu,District_12,East Coast Plains & Hills,Cotton,Rabi,91228,393,59.07,Laterite,64.38,296209,3.25
2004,Tamil Nadu,District_27,Trans-Gangetic Plains,Sugarcane,Zaid,17618,669.86,68.6,Sandy,285.09,61039,3.46
2013,Bihar,District_95,Eastern Plateau and Hills,Cotton,Rabi,24500,588.86,25.93,Sandy,293.82,79221,3.23
2017,Gujarat,District_68,Central Plateau and Hills,Sugarcane,Rabi,55777,892.72,30.35,Sandy,89.6,106682,1.91
2007,Tamil Nadu,District_30,Lower Gangetic Plains,Maize,Kharif,126129,362.61,47.15,Sandy,289.96,221103,1.75
2004,Uttar Pradesh,District_4,Trans-Gangetic Plains,Wheat,Zaid,121803,371.5,26.36,Alluvial,250.16,516862,4.24
2006,Maharashtra,District_54,Central Plateau and Hills,Maize,Zaid,5593,1855.2,75.42,Red,205.05,15485,2.77
2015,West Bengal,District_95,Lower Gangetic Plains,Maize,Kharif,31425,1816.37,92.23,Sandy,52.44,91945,2.93
2013,Andhra Pradesh,District_34,Trans-Gangetic Plains,Wheat,Rabi,149507,1506.88,76.77,Sandy,252.98,621844,4.16
2004,Tamil Nadu,District_68,Cauvery Delta Zone,Sugarcane,Zaid,49683,1525.76,67.48,Sandy,150.87,207948,4.19
2008,West Bengal,District_84,Central Plateau and Hills,Wheat,Zaid,119847,433.24,95.64,Black,249.12,188673,1.57
2003,Karnataka,District_56,East Coast Plains & Hills,Wheat,Zaid,31363,551.73,51,Red,291.53,61213,1.95
2003,Bihar,District_18,Lower Gangetic Plains,Rice,Zaid,97510,776.48,21.39,Black,109.89,353559,3.63
2015,Uttar Pradesh,District_47,Lower Gangetic Plains,Rice,Rabi,102543,1150.5,26.68,Clay,223.78,170689,1.66
2016,Rajasthan,District_72,Central Plateau and Hills,Cotton,Kharif,94470,1741.44,92.9,Clay,197.78,399620,4.23
2014,Karnataka,District_60,Western Plateau,Wheat,Kharif,118418,1972.63,97.72,Sandy,270.46,456614,3.86
2003,Maharashtra,District_59,Western Plateau,Maize,Kharif,111265,1624.22,24.77,Sandy,180.61,254188,2.28
2005,Uttar Pradesh,District_2,Cauvery Delta Zone,Maize,Rabi,115120,560.05,93.5,Sandy,167.72,274992,2.39
2015,Andhra Pradesh,District_73,East Coast Plains & Hills,Rice,Rabi,43587,1827.22,33.09,Clay,108.96,86857,1.99
2003,West Bengal,District_16,Trans-Gangetic Plains,Wheat,Zaid,11546,1476.73,49.31,Laterite,194.02,47652,4.13
2005,Bihar,District_86,Lower Gangetic Plains,Sugarcane,Rabi,43575,450.96,80.28,Black,273.81,130982,3.01
2004,Tamil Nadu,District_58,Eastern Plateau and Hills,Rice,Kharif,133784,878.77,51.8,Sandy,244.15,256917,1.92
2015,Andhra Pradesh,District_12,East Coast Plains & Hills,Rice,Kharif,128127,1666.21,82.11,Sandy,175.43,289250,2.26
2015,Karnataka,District_5,East Coast Plains & Hills,Maize,Rabi,53562,1782.96,74.26,Sandy,173.7,109940,2.05
2009,Gujarat,District_39,Western Dry Region,Sugarcane,Zaid,21401,1572.31,94.56,Sandy,56.66,81539,3.81
2008,Andhra Pradesh,District_15,Eastern Plateau and Hills,Sugarcane,Kharif,14311,1118.47,55.2,Red,241.66,45776,3.2
2003,West Bengal,District_72,Upper Gangetic Plains,Maize,Rabi,84874,1993.28,61.16,Black,263.26,178165,2.1
2013,West Bengal,District_88,Northern Hill Zone,Maize,Kharif,61672,304.21,81.64,Alluvial,159.13,205282,3.33
2003,Andhra Pradesh,District_19,Eastern Plateau and Hills,Maize,Zaid,8379,479.92,97.74,Sandy,284.97,26727,3.19
2011,West Bengal,District_82,Eastern Plateau and Hills,Sugarcane,Kharif,73740,1083.43,48.9,Clay,193.81,293684,3.98
2009,Andhra Pradesh,District_85,Western Plateau,Sugarcane,Kharif,54219,1505.63,94.95,Red,107.51,106548,1.97
2003,Punjab,District_49,Cauvery Delta Zone,Rice,Rabi,129279,346.07,74.92,Black,145.27,477877,3.7
2017,Rajasthan,District_39,East Coast Plains & Hills,Cotton,Kharif,112228,1028.29,92.18,Laterite,237.66,231384,2.06
2012,Rajasthan,District_78,Western Plateau,Rice,Kharif,124118,727,41.54,Clay,110.69,255078,2.06
2012,Karnataka,District_15,Central Plateau and Hills,Wheat,Rabi,128268,1252.44,77.36,Clay,193.19,448365,3.5
2013,Maharashtra,District_55,East Coast Plains & Hills,Cotton,Kharif,98150,833.69,53.98,Laterite,99.79,226158,2.3
2017,Karnataka,District_67,Trans-Gangetic Plains,Sugarcane,Rabi,17926,1411.26,53.22,Sandy,193.22,68654,3.83
2000,West Bengal,District_56,Northern Hill Zone,Rice,Zaid,118192,549.79,32.95,Black,104.23,263223,2.23
2020,Tamil Nadu,District_45,Lower Gangetic Plains,Sugarcane,Zaid,77778,1592.05,43.15,Laterite,152.28,245296,3.15
2015,Andhra Pradesh,District_75,Trans-Gangetic Plains,Cotton,Zaid,91482,1227.67,83.72,Clay,147.17,174625,1.91
2014,Uttar Pradesh,District_57,Trans-Gangetic Plains,Sugarcane,Zaid,123480,1577.64,69.9,Clay,91.68,468269,3.79
2004,Gujarat,District_67,Western Dry Region,Rice,Zaid,71257,1130.49,39.56,Sandy,154.9,124889,1.75
2005,Karnataka,District_94,Lower Gangetic Plains,Cotton,Rabi,92995,945.76,84.78,Clay,63.81,270096,2.9
2005,Gujarat,District_6,Lower Gangetic Plains,Rice,Rabi,49539,703.38,96.05,Alluvial,296.91,212009,4.28
2002,Bihar,District_70,Cauvery Delta Zone,Rice,Kharif,115581,1805.56,53.93,Sandy,114,296602,2.57
2015,Gujarat,District_31,Northern Hill Zone,Sugarcane,Kharif,97504,1042.44,96.91,Sandy,229.83,302152,3.1
2011,Uttar Pradesh,District_22,Western Plateau,Cotton,Zaid,123654,1108.38,36.97,Clay,228.03,486428,3.93
2003,Rajasthan,District_85,Lower Gangetic Plains,Sugarcane,Zaid,94486,1196.02,24.23,Laterite,222.68,343038,3.63
2000,Punjab,District_38,Central Plateau and Hills,Cotton,Kharif,140150,1183.49,23.35,Laterite,276.2,368232,2.63
2003,West Bengal,District_58,Eastern Plateau and Hills,Wheat,Zaid,69997,1298.03,71.71,Clay,75.72,152995,2.19
2000,Karnataka,District_70,Western Dry Region,Wheat,Rabi,106536,529.09,74.93,Alluvial,62.11,222334,2.09
2020,Rajasthan,District_29,Western Dry Region,Cotton,Rabi,101420,1717.22,70.21,Alluvial,60.71,353917,3.49
2007,Bihar,District_56,Lower Gangetic Plains,Sugarcane,Zaid,86326,885.4,87,Alluvial,171.23,161703,1.87
2004,West Bengal,District_11,Upper Gangetic Plains,Maize,Rabi,120363,559.11,74.44,Black,278.61,196983,1.64
2001,Tamil Nadu,District_48,Western Dry Region,Cotton,Kharif,57677,591.65,80.23,Clay,190.75,88997,1.54
2011,Rajasthan,District_86,Eastern Plateau and Hills,Rice,Rabi,37941,914.21,64.25,Laterite,140.88,75078,1.98
2016,West Bengal,District_60,East Coast Plains & Hills,Wheat,Zaid,76791,738.59,39.08,Red,166.91,280256,3.65
2006,Rajasthan,District_51,Cauvery Delta Zone,Cotton,Rabi,110799,1718.91,30.78,Laterite,111.22,254931,2.3
2010,Maharashtra,District_39,Upper Gangetic Plains,Cotton,Zaid,22527,1794.19,96.55,Red,232.54,41402,1.84
2003,Tamil Nadu,District_6,Eastern Plateau and Hills,Cotton,Zaid,138148,1510.22,40.31,Sandy,244.15,620481,4.49
2004,Maharashtra,District_30,Central Plateau and Hills,Rice,Rabi,77215,1680.06,40.36,Clay,112.38,135313,1.75
2005,Uttar Pradesh,District_89,Lower Gangetic Plains,Sugarcane,Zaid,39577,322.23,92.96,Alluvial,245.91,79588,2.01
2010,Tamil Nadu,District_100,Northern Hill Zone,Maize,Rabi,109277,445.83,92.7,Sandy,109.46,431129,3.95
2000,Uttar Pradesh,District_1,Eastern Plateau and Hills,Rice,Kharif,91432,1677.05,58.43,Sandy,145.52,277006,3.03
2009,Uttar Pradesh,District_86,Western Plateau,Maize,Zaid,134183,1099.1,99.73,Sandy,62.68,595588,4.44
2019,Bihar,District_9,Western Dry Region,Wheat,Zaid,112175,1898.14,34.2,Sandy,83.28,252915,2.25
2020,West Bengal,District_45,Cauvery Delta Zone,Maize,Zaid,144021,1744.14,55.35,Sandy,125.87,267841,1.86
2010,Gujarat,District_8,Western Plateau,Maize,Kharif,10401,874.68,32.35,Alluvial,175.7,34868,3.35
2016,Gujarat,District_34,Western Dry Region,Wheat,Rabi,143249,845.22,56.22,Clay,265.36,274008,1.91
2007,Maharashtra,District_80,Northern Hill Zone,Rice,Rabi,130809,1800.31,99.61,Laterite,254.22,513516,3.93
2012,Andhra Pradesh,District_83,Cauvery Delta Zone,Rice,Kharif,35278,1039.24,47.33,Red,235.19,153649,4.36
2019,Gujarat,District_8,Trans-Gangetic Plains,Wheat,Zaid,71256,1063.48,55.97,Sandy,128.59,125166,1.76
2017,Gujarat,District_12,Upper Gangetic Plains,Rice,Kharif,113586,1209.07,98.83,Laterite,237.42,231001,2.03
2015,Tamil Nadu,District_43,Cauvery Delta Zone,Sugarcane,Rabi,24278,1603.48,36.02,Alluvial,215.55,89241,3.68
2001,Rajasthan,District_56,Eastern Plateau and Hills,Maize,Zaid,19269,916.11,75.12,Sandy,151.68,77369,4.02
2004,Maharashtra,District_31,Eastern Plateau and Hills,Rice,Rabi,21127,1010.21,64.74,Laterite,243.09,71588,3.39
2017,Maharashtra,District_42,Central Plateau and Hills,Maize,Kharif,71739,1063.63,87.49,Laterite,212.93,295852,4.12
2002,Bihar,District_33,Northern Hill Zone,Rice,Kharif,32537,1724.83,59.53,Black,155.85,80454,2.47
2016,Uttar Pradesh,District_19,Trans-Gangetic Plains,Maize,Zaid,122365,1009.02,61.84,Black,141.7,304376,2.49
2015,Uttar Pradesh,District_91,Cauvery Delta Zone,Wheat,Kharif,40464,1715.53,52.52,Clay,243.67,86852,2.15
2005,Punjab,District_88,East Coast Plains & Hills,Wheat,Kharif,124533,1241.41,75.99,Red,58.07,486057,3.9
2018,Bihar,District_92,Upper Gangetic Plains,Wheat,Zaid,68915,1320.1,72.52,Red,87.48,299439,4.35
2006,Karnataka,District_55,Central Plateau and Hills,Sugarcane,Kharif,9193,1385.42,85.8,Alluvial,70.97,31344,3.41
2017,Karnataka,District_4,Northern Hill Zone,Sugarcane,Zaid,64970,951.41,55.83,Sandy,281.82,199231,3.07
2013,Karnataka,District_12,Eastern Plateau and Hills,Wheat,Kharif,25620,1331.91,37.97,Alluvial,83.98,77927,3.04
